year,month,tsa,nino3.4,nao,tna
1950,1,0.08,-1.99,0.56,-0.14
1950,2,0.15,-1.69,0.01,-0.36
1950,3,0.12,-1.42,-0.78,-0.37
1950,4,-0.17,-1.54,0.65,-0.11
1950,5,-0.34,-1.75,-0.5,-0.25
1950,6,-0.23,-1.27,0.25,-0.13
1950,7,-0.16,-1.01,-1.23,-0.18
1950,8,-0.34,-0.97,-0.19,-0.16
1950,9,-0.51,-0.98,0.39,-0.06
1950,10,-0.54,-1.03,1.43,-0.18
1950,11,-0.46,-1.23,-1.46,-0.09
1950,12,-0.92,-1.31,-1.03,0.18
1951,1,-0.98,-1.3,-0.42,0.06
1951,2,-0.7,-1.04,0.35,-0.17
1951,3,-0.87,-0.38,-1.47,-0.07
1951,4,-0.51,-0.23,-0.38,0.17
1951,5,-0.37,-0.01,-0.5,0.14
1951,6,-0.26,0,-1.35,0.17
1951,7,-0.11,0.3,1.39,0.41
1951,8,0.05,0.17,-0.41,0.2
1951,9,0.05,0.51,-1.18,0.15
1951,10,0.03,0.49,2.54,0.09
1951,11,-0.08,0.55,-0.54,-0.03
1951,12,0,0.31,1.13,-0.07
1952,1,0.06,0.13,0.57,-0.41
1952,2,-0.01,-0.01,-1.38,-0.15
1952,3,-0.08,-0.11,-1.97,-0.02
1952,4,-0.08,-0.02,0.95,0.04
1952,5,-0.19,-0.14,-0.99,0.13
1952,6,0.07,-0.54,-0.1,0.28
1952,7,-0.07,-0.76,-0.06,0.17
1952,8,-0.01,-0.56,-0.49,0.16
1952,9,-0.04,-0.36,-0.38,0.37
1952,10,-0.08,-0.46,-0.28,0.26
1952,11,0,-0.78,-1.32,0.28
1952,12,-0.14,-0.39,-0.49,0.55
1953,1,-0.15,0.2,-0.12,0.46
1953,2,-0.25,0.24,-1,0.41
1953,3,0.01,0.29,-0.45,-0.04
1953,4,-0.29,0.22,-1.96,0.18
1953,5,-0.14,0.35,-0.56,0.11
1953,6,-0.1,0.39,1.41,0.13
1953,7,-0.07,0.14,0.43,0.18
1953,8,-0.06,0.09,-1.04,0.24
1953,9,0.04,0.29,-0.19,0.2
1953,10,0.03,0.16,1.95,0.16
1953,11,-0.18,0.18,0.96,0.16
1953,12,-0.41,0.41,-0.52,0.17
1954,1,-0.43,0.43,-0.08,0.1
1954,2,-0.5,0.28,0.4,-0.12
1954,3,-0.52,-0.38,-1.27,-0.26
1954,4,-0.4,-1.17,1.31,-0.46
1954,5,-0.61,-0.81,-0.03,0.05
1954,6,-0.57,-0.93,0.06,0.04
1954,7,-0.66,-1.18,-0.57,-0.19
1954,8,-0.39,-1.43,-2.57,-0.13
1954,9,-0.25,-1.6,-0.28,-0.23
1954,10,-0.14,-1.48,1.16,-0.32
1954,11,-0.12,-1.13,0.29,-0.17
1954,12,-0.23,-1.33,0.55,-0.3
1955,1,-0.42,-0.93,-2.65,0.09
1955,2,-0.6,-0.95,-1.71,0.07
1955,3,-0.45,-1.06,-0.96,-0.04
1955,4,-0.52,-1.22,-0.6,-0.01
1955,5,-0.34,-1.28,-0.26,-0.12
1955,6,-0.44,-1.18,-0.8,-0.01
1955,7,-0.27,-1.15,1.78,0.12
1955,8,-0.46,-1.35,1.25,0.17
1955,9,-0.41,-1.43,0.46,0.16
1955,10,-0.28,-2.31,-1.09,0.21
1955,11,-0.2,-2.45,-1.49,0.45
1955,12,-0.57,-2.03,0.07,0.3
1956,1,-0.5,-1.2,-0.76,0.37
1956,2,-0.69,-0.99,-1.71,0.24
1956,3,-0.57,-0.83,-0.46,-0.04
1956,4,-0.73,-0.97,-1.3,0
1956,5,-0.45,-0.8,2.1,-0.29
1956,6,-0.43,-0.92,0.41,-0.45
1956,7,-0.26,-1.06,-0.72,-0.29
1956,8,-0.19,-1.17,-1.89,-0.2
1956,9,-0.19,-0.98,0.38,-0.27
1956,10,-0.44,-0.97,1.47,-0.06
1956,11,-0.43,-1.14,0.4,-0.08
1956,12,-0.49,-0.89,0,0.05
1957,1,-0.37,-0.51,0.71,-0.33
1957,2,-0.11,-0.22,-0.32,-0.55
1957,3,-0.07,0.18,-1.73,-0.17
1957,4,-0.03,0.41,0.39,-0.36
1957,5,-0.26,0.62,-0.68,-0.35
1957,6,-0.11,0.63,-0.42,-0.09
1957,7,-0.31,0.87,-1.16,-0.06
1957,8,-0.21,0.84,-0.83,0.19
1957,9,-0.35,0.72,-1.47,0.21
1957,10,-0.38,0.7,1.95,0.32
1957,11,-0.26,0.92,0.63,0.23
1957,12,-0.16,1.3,0.02,0.17
1958,1,-0.26,1.78,-1.14,0.25
1958,2,-0.26,1.49,-1.64,0.66
1958,3,-0.57,0.98,-2.46,0.91
1958,4,-0.63,0.46,0.26,0.92
1958,5,-1.07,0.38,-0.17,0.72
1958,6,-1.06,0.26,-1.08,0.76
1958,7,-0.51,0.03,-1.69,0.36
1958,8,-0.64,-0.01,-2.13,0.27
1958,9,-0.63,-0.32,0.08,0.28
1958,10,-0.49,-0.27,0.68,0.07
1958,11,-0.39,0.05,1.59,0.19
1958,12,-0.02,0.02,-0.74,0.2
1959,1,0.04,0.53,-1.52,0.28
1959,2,0.05,0.43,0.33,0.29
1959,3,0.28,0.19,-0.56,-0.09
1959,4,0.2,0.06,0.25,-0.08
1959,5,-0.17,-0.23,0.41,-0.22
1959,6,-0.14,-0.35,0.71,-0.25
1959,7,-0.24,-0.86,0.77,-0.25
1959,8,-0.2,-0.77,-0.05,-0.29
1959,9,-0.1,-0.8,1,-0.15
1959,10,-0.13,-0.48,1.48,-0.2
1959,11,-0.22,-0.66,0.3,-0.2
1959,12,-0.23,-0.42,0.32,-0.23
1960,1,-0.33,-0.28,-2.01,-0.07
1960,2,-0.41,-0.46,-2.59,0.18
1960,3,-0.09,-0.3,-0.93,0.2
1960,4,-0.22,-0.33,1.33,0.13
1960,5,0.01,-0.25,0.47,0.27
1960,6,-0.23,-0.49,0.1,0.1
1960,7,0.08,-0.41,0.38,0.08
1960,8,-0.02,-0.15,-1.93,0.05
1960,9,-0.05,-0.28,0.53,-0.05
1960,10,-0.1,-0.49,-1.37,-0.01
1960,11,0.01,-0.45,-0.67,0.1
1960,12,0,-0.38,-0.03,-0.02
1961,1,0,-0.31,-0.03,-0.04
1961,2,-0.12,-0.19,0.07,-0.07
1961,3,-0.02,-0.35,0.17,0.02
1961,4,-0.1,-0.46,-1.83,0.17
1961,5,0.03,-0.18,-0.28,0.2
1961,6,-0.1,-0.06,1.17,-0.04
1961,7,-0.21,-0.41,-0.36,0
1961,8,-0.19,-0.67,1.03,0.09
1961,9,0.03,-0.94,1.36,-0.05
1961,10,-0.02,-1.01,1.07,-0.13
1961,11,-0.06,-0.63,-0.79,-0.06
1961,12,-0.12,-0.63,-1.46,0.27
1962,1,-0.08,-0.59,0.2,0.22
1962,2,-0.16,-0.57,0.18,0.12
1962,3,-0.11,-0.48,-2.99,0.41
1962,4,-0.01,-0.69,0.93,0.26
1962,5,0.18,-0.89,-0.04,0.36
1962,6,0.08,-0.65,0.47,0.06
1962,7,-0.09,-0.53,-2.43,0.26
1962,8,-0.03,-0.53,0.05,0.19
1962,9,-0.08,-0.78,-0.21,0.09
1962,10,0.03,-0.75,0.96,0.08
1962,11,0.01,-0.95,-0.38,0.3
1962,12,-0.19,-0.93,-1.31,0.51
1963,1,-0.05,-0.78,-2.98,0.56
1963,2,0.01,-0.53,-1.53,0.51
1963,3,0.27,-0.1,-0.85,0.34
